"Reference","Value","Footprint","Qty"
"C1,C2","22uF","Capacitor_SMD:C_0805_2012Metric","2"
"C3,C6,C7,C8,C9,C10,C11","100nF","Capacitor_SMD:C_0402_1005Metric","7"
"C4,C5","20pF","Capacitor_SMD:C_0402_1005Metric","2"
"C12,C14","10nF","Capacitor_SMD:C_0402_1005Metric","2"
"C13","2.2uF","Capacitor_SMD:C_0805_2012Metric","1"
"C15","1uF","Capacitor_SMD:C_0805_2012Metric","1"
"D1","RED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"D2","USR_LED_GREEN","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"D3","BLUE","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"D4","YELLOW","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"FB1","120R","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","1"
"J1","USB_B_Micro","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","1"
"J2","UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"J3","I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"J4","SPI","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J5","SWD","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J6,J7","GPIO","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","2"
"R1","1K","Resistor_SMD:R_0402_1005Metric","1"
"R2,R6","10K","Resistor_SMD:R_0402_1005Metric","2"
"R3,R4","4K7","Resistor_SMD:R_0402_1005Metric","2"
"R5,R7,R8","330R","Resistor_SMD:R_0402_1005Metric","3"
"R9,R10","22R","Resistor_SMD:R_0402_1005Metric","2"
"SW1","BOOT_SW","Button_Switch_SMD:SW_SPDT_PCM12","1"
"SW2","RESET_SW","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1"
"SW3","USER_SW","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1"
"U1","STM32F401RE","Package_QFP:LQFP-64_10x10mm_P0.5mm","1"
"U2","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1"
"Y1","8MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1"
